snapshot,battery
2023-01-01,-6.395879587677626
2023-01-02,6.821210263296962e-13
2023-01-03,-12.964260295661234
2023-01-04,4.547473508864641e-13
2023-01-05,4.547473508864641e-13
2023-01-06,9.094947017729282e-13
2023-01-07,-9.265131384365304
2023-01-08,9.094947017729282e-13
2023-01-09,9.094947017729282e-13
2023-01-10,-3451.1687896554204
2023-01-11,3437.4246447721994
2023-01-12,-3.8254747037063908
2023-01-13,-3.400077538506139
2023-01-14,-2359.180552190525
2023-01-15,-2436.5124354588384
2023-01-16,-2378.4846782748873
2023-01-17,7132.71117758951
2023-01-18,-5305.742989688021
2023-01-19,5290.157432206192
2023-01-20,-2237.1786524319464
2023-01-21,-1901.979973423507
2023-01-22,-3077.2571683198767
2023-01-23,1959.2487868878186
2023-01-24,617.302532668403
2023-01-25,4578.291280683725
2023-01-26,-3301.5223123174283
2023-01-27,-3925.0174584274637
2023-01-28,3208.951301248283
2023-01-29,1123.9070313728685
2023-01-30,-4310.372893798067
2023-01-31,3975.8724115101404
2023-02-01,-207.28379206094405
2023-02-02,-3503.697459520148
2023-02-03,5355.949379543497
2023-02-04,-5612.4718307393505
2023-02-05,3599.2844230799356
2023-02-06,-1621.8458331658362
2023-02-07,2057.017820480105
2023-02-08,-3288.2998695667366
2023-02-09,3067.5325719431576
2023-02-10,-817.6930533614518
2023-02-11,-1662.7462442537737
2023-02-12,52.964021267936914
2023-02-13,145.12806664113214
2023-02-14,-1794.8655293209006
2023-02-15,388.4087896515
2023-02-16,1143.9507968648213
2023-02-17,3479.6762589562622
2023-02-18,-3625.685545681049
2023-02-19,-203.5383619625536
2023-02-20,2873.117477448353
2023-02-21,-2172.403553236014
2023-02-22,-1769.2029521509858
2023-02-23,6751.041767700984
2023-02-24,-2546.8809004659743
2023-02-25,-2681.749153698291
2023-02-26,-141.8637811747692
2023-02-27,231.25873576768845
2023-02-28,-86.51429546618874
2023-03-01,-50.359120901382084
2023-03-02,-5.854910131060478
2023-03-03,-243.64833277763705
2023-03-04,-80.3403490841456
2023-03-05,176.0312905005892
2023-03-06,371.9593587464219
2023-03-07,1790.4638122729189
2023-03-08,-1743.238670462853
2023-03-09,36.88203708895435
2023-03-10,-279.5823658117456
2023-03-11,-281.24324159812477
2023-03-12,-1708.6040844063568
2023-03-13,7195.712033924023
2023-03-14,-5234.2056943216485
2023-03-15,-117.11860331198795
2023-03-16,37.68826192986353
2023-03-17,1404.5397378071768
2023-03-18,2055.9150256539833
2023-03-19,-3167.4959743333206
2023-03-20,-351.5543311998581
2023-03-21,-1637.7092636614739
2023-03-22,4296.2321207890955
2023-03-23,337.7206386014675
2023-03-24,-1703.4562569555721
2023-03-25,-1737.1845699691448
2023-03-26,264.19771324183375
2023-03-27,363.7883906927541
2023-03-28,-2008.1829811939497
2023-03-29,3020.701614756326
2023-03-30,4058.630902599327
2023-03-31,-1000.0903137781529
2023-04-01,-5152.014996276139
2023-04-02,112.69512208939136
2023-04-03,130.40268372053652
2023-04-04,-40.55300517160822
2023-04-05,187.93294708748704
2023-04-06,-445.9999927828694
2023-04-07,-249.0763622487566
2023-04-08,-333.83108962846245
2023-04-09,-101.78297219664955
2023-04-10,20.63700640940715
2023-04-11,214.19073674610945
2023-04-12,36.054121468112726
2023-04-13,168.51216247478533
2023-04-14,128.5424502232254
2023-04-15,-708.1624792806572
2023-04-16,35.87250993166799
2023-04-17,86.53774009694416
2023-04-18,-209.2322098686891
2023-04-19,114.95626480915325
2023-04-20,-118.48739797200324
2023-04-21,-370.9553471318827
2023-04-22,-458.6207733367214
2023-04-23,364.4183657609865
2023-04-24,267.0020265532353
2023-04-25,194.66501407098553
2023-04-26,-83.07225971034268
2023-04-27,-74.7280578822124
2023-04-28,-824.0596625408211
2023-04-29,289.61500436949405
2023-04-30,-197.37862636359796
2023-05-01,-55.294222131683
2023-05-02,489.18838848518135
2023-05-03,-40.494764446938234
2023-05-04,93.9892777295695
2023-05-05,-847.1802502401727
2023-05-06,184.08530768425862
2023-05-07,83.97927574300638
2023-05-08,163.31843942006776
2023-05-09,-100.35432887865909
2023-05-10,62.21206785409777
2023-05-11,-296.268145881706
2023-05-12,-149.63316194303138
2023-05-13,-378.64251029991806
2023-05-14,99.52268460824735
2023-05-15,314.62854455454453
2023-05-16,-130.38293758706413
2023-05-17,106.18354481991537
2023-05-18,-391.8579338530044
2023-05-19,-16.226271850635385
2023-05-20,-82.70880712538815
2023-05-21,19.85611940386798
2023-05-22,117.83905160189033
2023-05-23,302.3197808231216
2023-05-24,-229.93106468017777
2023-05-25,-88.27417816385719
2023-05-26,-134.30612404712656
2023-05-27,-88.24676901407565
2023-05-28,32.81352307518455
2023-05-29,127.01247965125867
2023-05-30,-21.522099724577856
2023-05-31,-50.57898139482518
2023-06-01,35.544795178480854
2023-06-02,-159.96932006936595
2023-06-03,-83.01060927903472
2023-06-04,8.3934065937583
2023-06-05,11.521776921540095
2023-06-06,-18.708882023215438
2023-06-07,62.724325626126074
2023-06-08,50.8901321822309
2023-06-09,-169.63950937507752
2023-06-10,-90.09233954561728
2023-06-11,67.87544335505982
2023-06-12,62.017870914176
2023-06-13,-41.27078606749751
2023-06-14,-15.189967629558396
2023-06-15,-10.467843818660413
2023-06-16,-154.7674475744011
2023-06-17,-59.07191593459697
2023-06-18,47.155104275318536
2023-06-19,56.81127686102195
2023-06-20,-18.554818800427938
2023-06-21,0.163997302620146
2023-06-22,-156.32029019023093
2023-06-23,-121.346464548938
2023-06-24,-33.737778510453154
2023-06-25,110.83568601803881
2023-06-26,659.262817993724
2023-06-27,-567.0650578788791
2023-06-28,-28.228313854205453
2023-06-29,-25.035491390239486
2023-06-30,-142.7795596662943
2023-07-01,217.98135355949626
2023-07-02,-261.22009698804163
2023-07-03,75.34286605724174
2023-07-04,107.2314239170828
2023-07-05,-165.64591661430723
2023-07-06,-61.45973333774009
2023-07-07,-120.67432461239287
2023-07-08,-59.44447104907408
2023-07-09,35.65353928214586
2023-07-10,482.9081263750645
2023-07-11,-472.8489706458017
2023-07-12,-13.568706722152001
2023-07-13,-49.905611274785315
2023-07-14,-78.65193483940675
2023-07-15,-74.13547611125341
2023-07-16,21.968017204733314
2023-07-17,-8.688808900557888
2023-07-18,-4.079952124842748
2023-07-19,-29.81294273652088
2023-07-20,-42.5418669554731
2023-07-21,-57.659192487786186
2023-07-22,-45.47610124869448
2023-07-23,788.0292192961854
2023-07-24,-768.5281237474665
2023-07-25,-50.61450221540031
2023-07-26,21.147155464732123
2023-07-27,9.72259417269288
2023-07-28,-71.77190401376197
2023-07-29,-70.63997119401552
2023-07-30,17.995492670002477
2023-07-31,59.44725625503361
2023-08-01,314.02806729734107
2023-08-02,-306.95267680027064
2023-08-03,-44.268996333379846
2023-08-04,-45.192443662801224
2023-08-05,-67.6897853796479
2023-08-06,931.0559145685331
2023-08-07,396.40557376783977
2023-08-08,2321.6669690597028
2023-08-09,3531.471651081267
2023-08-10,-6679.1655227508345
2023-08-11,-178.9338062036204
2023-08-12,582.163710602043
2023-08-13,-464.98702699448495
2023-08-14,500.9728277286131
2023-08-15,65.62227879491775
2023-08-16,-68.63462914845172
2023-08-17,-159.7589781607271
2023-08-18,-76.23115727382537
2023-08-19,-238.4179517823418
2023-08-20,163.91390472448757
2023-08-21,323.69491610533237
2023-08-22,81.54955105097383
2023-08-23,-100.46030493459966
2023-08-24,-133.53256769166683
2023-08-25,-64.97845490474083
2023-08-26,-119.11971662960855
2023-08-27,-0.3313506247827718
2023-08-28,322.17984549085713
2023-08-29,-70.85283268624175
2023-08-30,174.52385957908086
2023-08-31,320.23700227722475
2023-09-01,-421.35958703159395
2023-09-02,-142.62305282503007
2023-09-03,207.08828362862414
2023-09-04,340.5953957586587
2023-09-05,8.283804491726187
2023-09-06,-66.33841319966041
2023-09-07,90.86265608207327
2023-09-08,-365.78393267311276
2023-09-09,-75.13208536905495
2023-09-10,112.94386538941808
2023-09-11,384.50641614873666
2023-09-12,-49.673232369436846
2023-09-13,-3.7997080579709746
2023-09-14,-23.67537758327262
2023-09-15,-192.14050457731855
2023-09-16,-261.0210347464704
2023-09-17,192.30847261264557
2023-09-18,201.1058999101756
2023-09-19,-12.434401741657894
2023-09-20,-54.01040765542393
2023-09-21,-25.42975434823279
2023-09-22,-218.48107540407068
2023-09-23,-176.82377858517975
2023-09-24,159.08857869717394
2023-09-25,257.04721432620886
2023-09-26,-8.666858267562475
2023-09-27,-27.321863029043925
2023-09-28,-24.942188065942673
2023-09-29,-312.51752231289674
2023-09-30,-109.4929844122546
2023-10-01,184.4980376698952
2023-10-02,494.64030762123446
2023-10-03,3616.786488511263
2023-10-04,-3778.7980218658363
2023-10-05,132.63112937874666
2023-10-06,968.0966177882347
2023-10-07,-1251.5464687981832
2023-10-08,197.4792592149247
2023-10-09,153.32944916875044
2023-10-10,2106.2400100869645
2023-10-11,-183.4184813463653
2023-10-12,-2309.6013256321726
2023-10-13,4344.866038789604
2023-10-14,-4532.542782610284
2023-10-15,274.6717459677868
2023-10-16,341.5750670851055
2023-10-17,-238.83359992885562
2023-10-18,210.41681572152038
2023-10-19,2339.3599315040387
2023-10-20,-3177.881327385892
2023-10-21,4461.328387111011
2023-10-22,-3090.3035406621234
2023-10-23,-2598.5828562948927
2023-10-24,4064.716223253666
2023-10-25,3487.2443170559754
2023-10-26,-3.6803926585837416
2023-10-27,-7555.194721950618
2023-10-28,2115.8077777268354
2023-10-29,5344.7221799565505
2023-10-30,-7147.658221775652
2023-10-31,6939.723711007374
2023-11-01,-5879.258979267601
2023-11-02,1196.0246676255474
2023-11-03,-2712.6004078288533
2023-11-04,731.9448040855765
2023-11-05,3174.450681864559
2023-11-06,1878.7320042930749
2023-11-07,-2589.6663011332507
2023-11-08,-2900.5414262578124
2023-11-09,7236.875530423924
2023-11-10,-2.794467061839441
2023-11-11,-6305.670982331195
2023-11-12,2833.2063535362204
2023-11-13,-2457.7596149656256
2023-11-14,5886.519050223286
2023-11-15,-700.0698708058321
2023-11-16,690.6126070550381
2023-11-17,-2346.0578902742473
2023-11-18,-4856.926333006369
2023-11-19,4631.286266936441
2023-11-20,267.4956983084212
2023-11-21,-1300.8844472185099
2023-11-22,3552.831231916452
2023-11-23,-3.818761021609646
2023-11-24,-4.840138089016818
2023-11-25,-3052.610329575285
2023-11-26,-2525.17298334116
2023-11-27,1242.9172931835594
2023-11-28,-350.7949150372465
2023-11-29,4291.947304738269
2023-11-30,-2306.208888663024
2023-12-01,550.8433135585221
2023-12-02,2074.3457596954613
2023-12-03,-4696.300443447897
2023-12-04,4680.956914678095
2023-12-05,-6.9291031536138235
2023-12-06,1.1368683772161603e-12
2023-12-07,-6.5050523598822565
2023-12-08,9.094947017729282e-13
2023-12-09,-3.2821816704480398
2023-12-10,-6.016758853354531
2023-12-11,6.821210263296962e-13
2023-12-12,-2683.0219300689428
2023-12-13,2503.4071758158834
2023-12-14,161.5761506775575
2023-12-15,-13.654471889903789
2023-12-16,6.821210263296962e-13
2023-12-17,1.1368683772161603e-12
2023-12-18,0.0
2023-12-19,-3.2658877858969504
2023-12-20,-8.178342108249126
2023-12-21,9.094947017729282e-13
2023-12-22,-2429.802820929669
2023-12-23,-3309.9022115288863
2023-12-24,5714.885604501185
2023-12-25,-3226.0068053495124
2023-12-26,2805.735578427799
2023-12-27,-4620.246092629495
2023-12-28,5007.419307294672
2023-12-29,6.821210263296962e-13
2023-12-30,-3484.00427921517
2023-12-31,3470.589826740446
