snapshot,biogas_market
2023-01-01,21040.740178610857
2023-01-02,20632.5
2023-01-03,23580.0
2023-01-04,2947.5
2023-01-05,0.0
2023-01-06,0.0
2023-01-07,0.0
2023-01-08,0.0
2023-01-09,0.0
2023-01-10,0.0
2023-01-11,0.0
2023-01-12,0.0
2023-01-13,0.0
2023-01-14,0.0
2023-01-15,0.0
2023-01-16,0.0
2023-01-17,0.0
2023-01-18,0.0
2023-01-19,22168.153083205863
2023-01-20,23580.0
2023-01-21,23580.0
2023-01-22,23580.0
2023-01-23,14582.907809039138
2023-01-24,0.0
2023-01-25,0.0
2023-01-26,0.0
2023-01-27,2524.750318376245
2023-01-28,0.0
2023-01-29,0.0
2023-01-30,0.0
2023-01-31,0.0
2023-02-01,0.0
2023-02-02,1974.4432832494595
2023-02-03,0.0
2023-02-04,0.0
2023-02-05,11790.0
2023-02-06,11790.0
2023-02-07,0.0
2023-02-08,0.0
2023-02-09,0.0
2023-02-10,0.0
2023-02-11,0.0
2023-02-12,0.0
2023-02-13,5400.0
2023-02-14,22074.141986662547
2023-02-15,20069.32453674604
2023-02-16,0.0
2023-02-17,0.0
2023-02-18,0.0
2023-02-19,0.0
2023-02-20,0.0
2023-02-21,0.0
2023-02-22,0.0
2023-02-23,13480.71209414393
2023-02-24,2955.7502112133125
2023-02-25,0.0
2023-02-26,0.0
2023-02-27,5921.422782698868
2023-02-28,8100.0
2023-03-01,0.0
2023-03-02,0.0
2023-03-03,0.0
2023-03-04,0.0
2023-03-05,4792.535598880651
2023-03-06,23580.0
2023-03-07,1262.7853946496343
2023-03-08,0.0
2023-03-09,5895.0
2023-03-10,23580.0
2023-03-11,8842.5
2023-03-12,0.0
2023-03-13,0.0
2023-03-14,0.0
2023-03-15,0.0
2023-03-16,0.0
2023-03-17,0.0
2023-03-18,15147.636241624654
2023-03-19,17089.622632179136
2023-03-20,5895.0
2023-03-21,12360.41534184921
2023-03-22,0.0
2023-03-23,0.0
2023-03-24,0.0
2023-03-25,0.0
2023-03-26,0.0
2023-03-27,5691.564418473084
2023-03-28,0.0
2023-03-29,0.0
2023-03-30,0.0
2023-03-31,0.0
2023-04-01,0.0
2023-04-02,0.0
2023-04-03,13447.006818715647
2023-04-04,20632.5
2023-04-05,8842.5
