snapshot,onwind
2023-01-01,40399.43579819466
2023-01-02,64271.22779151808
2023-01-03,23592.621022436462
2023-01-04,96536.17260234061
2023-01-05,95949.94334858311
2023-01-06,89566.74738120637
2023-01-07,82353.98632051995
2023-01-08,90888.97934898564
2023-01-09,90486.29259398248
2023-01-10,79135.08848966751
2023-01-11,86941.4010615634
2023-01-12,90075.16162248183
2023-01-13,85240.90588333615
2023-01-14,68306.75560623873
2023-01-15,74401.99967049653
2023-01-16,73092.12600745766
2023-01-17,93568.82588259358
2023-01-18,131980.30703163682
2023-01-19,55387.2245239465
2023-01-20,29464.68818635409
2023-01-21,8271.437898717544
2023-01-22,4740.839191927069
2023-01-23,60618.79329002294
2023-01-24,93944.67175218363
2023-01-25,94644.99973255319
2023-01-26,98707.20119456595
2023-01-27,39298.88908918231
2023-01-28,74996.80093053657
2023-01-29,72254.08727823813
2023-01-30,66279.01950929851
2023-01-31,79276.02016744154
2023-02-01,101018.93828505167
2023-02-02,33668.32543452764
2023-02-03,108544.11611871797
2023-02-04,29848.52658924447
2023-02-05,97120.10273395194
2023-02-06,35764.428464555385
2023-02-07,86835.950800525
2023-02-08,90137.92778254335
2023-02-09,77622.83300357891
2023-02-10,67389.08739660952
2023-02-11,36460.59058606535
2023-02-12,61570.07159695428
2023-02-13,65460.11126864074
2023-02-14,40100.0172465529
2023-02-15,68896.47951957578
2023-02-16,85825.85625132332
2023-02-17,86475.6767026344
2023-02-18,48639.50498455528
2023-02-19,51203.14708645331
2023-02-20,62580.28175660681
2023-02-21,33033.00873469637
2023-02-22,68060.9848647797
2023-02-23,76259.89760042191
2023-02-24,82859.20858471337
2023-02-25,54072.04885483528
2023-02-26,51438.6275654903
2023-02-27,38385.959710223215
2023-02-28,28726.624385926967
2023-03-01,48176.78181071888
2023-03-02,48509.64064178177
2023-03-03,41328.20262473588
2023-03-04,29105.979511634163
2023-03-05,21252.34623135441
2023-03-06,6815.539801071551
2023-03-07,92084.46759184712
2023-03-08,59473.17293179528
2023-03-09,67466.36209612836
2023-03-10,46451.56489069359
2023-03-11,27539.83721080787
2023-03-12,52791.294067957795
2023-03-13,95383.65182704995
2023-03-14,62448.507779234715
2023-03-15,35534.95791316099
2023-03-16,40455.11783607283
2023-03-17,89854.22880614568
2023-03-18,47059.16486131575
2023-03-19,31046.99057795175
2023-03-20,93334.4312868159
2023-03-21,26553.486802146203
2023-03-22,83252.86478816158
2023-03-23,70932.13929930188
2023-03-24,80040.78822448298
2023-03-25,69786.92268513888
2023-03-26,85400.50219300935
2023-03-27,32498.770808553585
2023-03-28,40015.30701457776
2023-03-29,71529.4854363172
2023-03-30,80994.32037797288
2023-03-31,77609.57264813741
2023-04-01,29053.628353840664
2023-04-02,11545.860494911201
2023-04-03,13103.072064475595
2023-04-04,7325.0393557635025
2023-04-05,26300.52153844679
2023-04-06,60176.33006567413
2023-04-07,28996.91247034118
2023-04-08,24230.868134985252
2023-04-09,15321.224054944727
