snapshot,offwind
2023-01-01,0.0
2023-01-08,0.0
2023-01-15,1.0913936421275139e-10
2023-01-22,0.0
2023-01-29,1.0913936421275139e-11
2023-02-05,0.0
2023-02-12,3.2741809263825417e-11
2023-02-19,1.0913936421275139e-11
2023-02-26,3.2741809263825417e-11
2023-03-05,0.0
2023-03-12,0.0
2023-03-19,2.1827872842550278e-11
2023-03-26,2.1827872842550278e-11
2023-04-02,1.0913936421275139e-11
2023-04-09,0.0
2023-04-16,0.0
2023-04-23,0.0
2023-04-30,0.0
2023-05-07,0.0
2023-05-14,0.0
2023-05-21,0.0
2023-05-28,0.0
2023-06-04,0.0
2023-06-11,0.0
2023-06-18,0.0
2023-06-25,0.0
2023-07-02,0.0
2023-07-09,0.0
2023-07-16,0.0
2023-07-23,0.0
2023-07-30,0.0
2023-08-06,0.0
2023-08-13,0.0
2023-08-20,0.0
2023-08-27,0.0
2023-09-03,0.0
2023-09-10,0.0
2023-09-17,0.0
2023-09-24,0.0
2023-10-01,0.0
2023-10-08,0.0
2023-10-15,0.0
2023-10-22,1.0913936421275216e-11
2023-10-29,1.0913936421275139e-11
2023-11-05,2.1827872842550278e-11
2023-11-12,0.0
2023-11-19,0.0
2023-11-26,2.1827872842550278e-11
2023-12-03,0.0
2023-12-10,0.0
2023-12-17,0.0
2023-12-24,7.639755494892597e-11
2023-12-31,2.1827872842550278e-11
